X1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,propMale,propHindu,propOther,classsize,internelEdge,ownGendAtt,othGendAtt,ownGendAdv,gradeCent,ownReligAdv
11,A0504,5,A,5A,Hindu,Enemies,Enemy3,2,29,M,4,2,7,7,6,7,5,5,7,5,2,6,2,8,NA,1,3,2,3,1,1,1,1,2,1,1,5,1,1,4,5,7,1,1,2,1,1,1,5,1,3,M,Muslim,NA,3,NA,2,3,1,4,1,1,5,1,7,7,7,1,1,3,1,1,1,5,1,3,7,7,NA,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,7,-1.009717175,-1.5,2
12,A0504,5,A,5A,Hindu,Enemies,Enemy4,2,33,M,4,2,7,7,6,7,5,5,7,5,2,6,2,8,NA,1,3,2,3,1,1,1,1,2,1,1,5,1,1,4,5,7,1,1,2,1,1,1,5,1,3,M,Hindu,1,1,1,1,1,1,3,1,1,2,1,4,6,7,1,1,1,1,1,1,5,5,1,7,1,7,5,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,7,-1.009717175,-1.5,2
13,A0505,5,A,5A,Hindu,Enemies,Enemy1,2,6,M,5,5,7,6,6,7,6,7,7,6,7,7,6,3,NA,1,1,2,2,2,1,1,2,4,1,4,1,1,1,4,4,4,2,1,1,1,1,1,1,2,2,M,Hindu,1,1,1,1,1,1,4,1,3,1,1,7,7,7,3,1,1,1,1,1,1,5,3,7,7,6,6,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,1
14,A0505,5,A,5A,Hindu,Enemies,Enemy2,2,11,M,5,5,7,6,6,7,6,7,7,6,7,7,6,3,NA,1,1,2,2,2,1,1,2,4,1,4,1,1,1,4,4,4,2,1,1,1,1,1,1,2,2,M,Muslim,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,5,7,1,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,1
15,A0505,5,A,5A,Hindu,Enemies,Enemy3,2,17,M,5,5,7,6,6,7,6,7,7,6,7,7,6,3,NA,1,1,2,2,2,1,1,2,4,1,4,1,1,1,4,4,4,2,1,1,1,1,1,1,2,2,M,Muslim,1,2,1,1,1,1,4,4,1,1,1,5,1,5,1,NA,1,1,2,1,1,1,5,6,6,6,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,1
16,A0505,5,A,5A,Hindu,Enemies,Enemy4,2,32,M,5,5,7,6,6,7,6,7,7,6,7,7,6,3,NA,1,1,2,2,2,1,1,2,4,1,4,1,1,1,4,4,4,2,1,1,1,1,1,1,2,2,M,Muslim,1,1,1,1,1,1,2,1,1,1,1,4,1,7,5,1,1,1,1,1,3,3,5,7,1,5,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,1
17,A0506,5,A,5A,Hindu,Enemies,Enemy1,2,5,M,6,6,7,7,6,6,6,7,6,7,6,5,5,8,NA,1,1,1,1,1,1,1,4,4,1,3,1,1,1,7,7,7,3,1,1,1,1,1,1,5,3,M,Hindu,1,2,2,2,1,1,4,1,4,1,1,4,4,4,2,1,1,1,1,1,1,2,2,7,6,7,6,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,7,-1.009717175,-1.5,0
18,A0507,5,A,5A,Hindu,Enemies,Enemy1,2,1,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Muslim,1,1,2,1,2,1,3,1,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,7,2,5,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
19,A0507,5,A,5A,Hindu,Enemies,Enemy2,2,2,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Muslim,1,2,1,1,1,1,1,1,1,5,1,4,4,4,2,2,1,1,1,1,1,1,2,7,5,6,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
20,A0507,5,A,5A,Hindu,Enemies,Enemy3,2,3,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Muslim,1,1,1,1,2,1,4,1,1,1,3,4,4,4,3,1,1,1,1,1,3,3,1,7,6,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
21,A0507,5,A,5A,Hindu,Enemies,Enemy4,2,10,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Muslim,1,1,2,1,1,1,4,1,5,2,1,4,1,4,2,3,3,1,4,1,1,5,3,1,1,1,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
22,A0507,5,A,5A,Hindu,Enemies,Enemy5,2,11,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Muslim,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,5,7,1,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
23,A0507,5,A,5A,Hindu,Enemies,Enemy6,2,25,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Hindu,1,2,1,1,1,1,3,1,2,2,1,2,2,1,1,1,1,1,2,1,1,2,5,6,1,6,1,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
24,A0507,5,A,5A,Hindu,Enemies,Enemy7,2,38,M,7,5,7,1,6,NA,2,7,7,5,3,6,5,8,NA,1,3,3,1,2,2,1,2,1,3,2,1,1,2,4,2,1,3,1,2,2,2,1,1,2,2,M,Muslim,1,1,1,1,1,1,3,1,1,1,1,1,1,7,1,1,1,5,1,5,3,1,1,7,1,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,NA
25,A0508,5,A,5A,Hindu,Enemies,Enemy1,2,11,M,8,4,7,4,7,7,4,7,7,4,5,4,4,8,NA,1,1,1,1,1,1,2,1,1,3,4,3,1,2,4,1,1,3,3,3,3,2,1,2,3,2,M,Muslim,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,5,7,1,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,3
26,A0508,5,A,5A,Hindu,Enemies,Enemy2,2,35,M,8,4,7,4,7,7,4,7,7,4,5,4,4,8,NA,1,1,1,1,1,1,2,1,1,3,4,3,1,2,4,1,1,3,3,3,3,2,1,2,3,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,3
27,A0509,5,A,5A,Hindu,Enemies,Enemy1,2,1,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Muslim,1,1,2,1,2,1,3,1,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,7,2,5,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
28,A0509,5,A,5A,Hindu,Enemies,Enemy2,2,6,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Hindu,1,1,1,1,1,1,4,1,3,1,1,7,7,7,3,1,1,1,1,1,1,5,3,7,7,6,6,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
29,A0509,5,A,5A,Hindu,Enemies,Enemy3,2,8,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Hindu,1,1,1,1,1,2,1,3,4,3,2,4,1,1,3,3,3,3,2,1,2,3,2,7,4,7,4,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
30,A0509,5,A,5A,Hindu,Enemies,Enemy4,2,10,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Muslim,1,1,2,1,1,1,4,1,5,2,1,4,1,4,2,3,3,1,4,1,1,5,3,1,1,1,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
31,A0509,5,A,5A,Hindu,Enemies,Enemy5,2,14,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Muslim,1,1,1,1,1,1,4,1,1,2,1,4,1,7,2,1,1,1,4,1,1,5,3,7,7,7,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
32,A0509,5,A,5A,Hindu,Enemies,Enemy6,2,24,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Hindu,1,1,1,2,1,1,2,1,1,1,1,4,4,4,5,1,1,1,1,1,1,3,3,7,1,7,1,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
33,A0509,5,A,5A,Hindu,Enemies,Enemy7,2,32,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Muslim,1,1,1,1,1,1,2,1,1,1,1,4,1,7,5,1,1,1,1,1,3,3,5,7,1,5,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
34,A0509,5,A,5A,Hindu,Enemies,Enemy8,2,33,M,9,2,6,2,3,7,1,6,6,5,3,3,3,8,NA,1,1,1,1,1,1,1,1,3,1,5,2,1,3,4,2,3,1,1,1,1,2,1,5,5,2,M,Hindu,1,1,1,1,1,1,3,1,1,2,1,4,6,7,1,1,1,1,1,1,5,5,1,7,1,7,5,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,6,2,0.7444606977058776,-1.5,6
35,A0510,5,A,5A,Muslim,Enemies,Enemy1,2,24,M,10,1,1,1,7,1,7,7,3,7,4,1,6,8,NA,1,1,1,2,1,1,1,1,4,1,5,2,2,1,4,1,4,2,3,3,1,4,1,1,5,3,M,Hindu,1,1,1,2,1,1,2,1,1,1,1,4,4,4,5,1,1,1,1,1,1,3,3,7,1,7,1,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,1,1,-1.009717175,-1.5,6
36,A0510,5,A,5A,Muslim,Enemies,Enemy2,2,47,M,10,1,1,1,7,1,7,7,3,7,4,1,6,8,NA,1,1,1,2,1,1,1,1,4,1,5,2,2,1,4,1,4,2,3,3,1,4,1,1,5,3,F,Hindu,1,1,2,1,1,1,3,3,4,2,3,4,4,4,1,1,1,1,1,1,1,5,3,4,7,6,6,0,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,1,1,-1.009717175,-1.5,6
37,A0511,5,A,5A,Muslim,Enemies,Enemy1,2,5,M,11,7,7,1,7,2,7,7,NA,2,2,2,7,6,NA,1,1,1,1,1,1,1,2,4,1,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,5,M,Hindu,1,2,2,2,1,1,4,1,4,1,1,4,4,4,2,1,1,1,1,1,1,2,2,7,6,7,6,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,5
38,A0511,5,A,5A,Muslim,Enemies,Enemy2,2,12,M,11,7,7,1,7,2,7,7,NA,2,2,2,7,6,NA,1,1,1,1,1,1,1,2,4,1,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,5,M,Hindu,2,3,4,1,2,1,5,5,1,4,1,4,1,5,3,4,1,1,3,2,5,1,3,7,4,3,4,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,5
39,A0511,5,A,5A,Muslim,Enemies,Enemy3,2,41,M,11,7,7,1,7,2,7,7,NA,2,2,2,7,6,NA,1,1,1,1,1,1,1,2,4,1,1,1,2,1,4,1,1,1,2,1,1,1,1,1,1,5,F,Hindu,2,1,1,1,1,1,3,1,3,3,1,4,4,4,2,1,1,1,1,2,1,5,3,6,7,7,1,0,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,1,1.621549634144792,-1.5,5
40,A0512,5,A,5A,Hindu,Enemies,Enemy1,2,3,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Muslim,1,1,1,1,2,1,4,1,1,1,3,4,4,4,3,1,1,1,1,1,3,3,1,7,6,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
41,A0512,5,A,5A,Hindu,Enemies,Enemy2,2,6,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Hindu,1,1,1,1,1,1,4,1,3,1,1,7,7,7,3,1,1,1,1,1,1,5,3,7,7,6,6,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
42,A0512,5,A,5A,Hindu,Enemies,Enemy3,2,14,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Muslim,1,1,1,1,1,1,4,1,1,2,1,4,1,7,2,1,1,1,4,1,1,5,3,7,7,7,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
43,A0512,5,A,5A,Hindu,Enemies,Enemy4,2,17,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Muslim,1,2,1,1,1,1,4,4,1,1,1,5,1,5,1,NA,1,1,2,1,1,1,5,6,6,6,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
44,A0512,5,A,5A,Hindu,Enemies,Enemy5,2,26,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Muslim,1,2,1,1,1,1,4,1,1,5,1,4,4,4,2,1,1,1,2,1,1,1,2,7,5,6,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
45,A0512,5,A,5A,Hindu,Enemies,Enemy6,2,33,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Hindu,1,1,1,1,1,1,3,1,1,2,1,4,6,7,1,1,1,1,1,1,5,5,1,7,1,7,5,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
46,A0512,5,A,5A,Hindu,Enemies,Enemy7,2,34,M,12,6,7,4,6,3,4,4,2,5,3,1,2,4,NA,1,2,3,4,1,2,1,2,5,5,1,4,1,1,4,1,5,3,4,1,1,3,2,5,1,3,M,Muslim,1,1,1,1,1,1,3,1,1,1,1,4,3,4,4,3,4,3,1,3,1,4,4,6,4,4,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,4,0.30591622948642044,-1.5,-1
47,A0513,5,A,5A,Hindu,Enemies,Enemy1,2,11,M,13,6,7,6,7,7,7,7,7,7,7,5,7,7,LEVA PATEL,1,1,1,1,1,1,1,4,3,1,4,3,1,1,3,4,3,2,1,1,1,1,1,1,2,2,M,Muslim,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,5,7,1,2,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,0
48,A0513,5,A,5A,Hindu,Enemies,Enemy2,2,17,M,13,6,7,6,7,7,7,7,7,7,7,5,7,7,LEVA PATEL,1,1,1,1,1,1,1,4,3,1,4,3,1,1,3,4,3,2,1,1,1,1,1,1,2,2,M,Muslim,1,2,1,1,1,1,4,4,1,1,1,5,1,5,1,NA,1,1,2,1,1,1,5,6,6,6,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,0
49,A0513,5,A,5A,Hindu,Enemies,Enemy3,2,21,M,13,6,7,6,7,7,7,7,7,7,7,5,7,7,LEVA PATEL,1,1,1,1,1,1,1,4,3,1,4,3,1,1,3,4,3,2,1,1,1,1,1,1,2,2,M,Muslim,2,1,1,1,3,1,4,2,1,1,1,4,1,4,2,3,2,5,1,1,1,3,2,7,6,1,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,0
50,A0513,5,A,5A,Hindu,Enemies,Enemy4,2,24,M,13,6,7,6,7,7,7,7,7,7,7,5,7,7,LEVA PATEL,1,1,1,1,1,1,1,4,3,1,4,3,1,1,3,4,3,2,1,1,1,1,1,1,2,2,M,Hindu,1,1,1,2,1,1,2,1,1,1,1,4,4,4,5,1,1,1,1,1,1,3,3,7,1,7,1,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,0
51,A0513,5,A,5A,Hindu,Enemies,Enemy5,2,29,M,13,6,7,6,7,7,7,7,7,7,7,5,7,7,LEVA PATEL,1,1,1,1,1,1,1,4,3,1,4,3,1,1,3,4,3,2,1,1,1,1,1,1,2,2,M,Muslim,NA,3,NA,2,3,1,4,1,1,5,1,7,7,7,1,1,3,1,1,1,5,1,3,7,7,NA,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,0
